date,AAPL,MSFT,GOOGL,AMZN,META,TSLA,NVDA,JPM,UNH,V,JNJ,HD,PG,MA,PEP,BAC,XOM,KO,LLY,AVGO,MRK,WMT,ABBV,COST,TMO,DIS,ADBE,CSCO,CRM,NFLX,INTC,ABT,CMCSA,MCD,DHR,TXN,AMD,NKE,PFE,UPS,QCOM,PM,AMGN,BA,LOW,CAT,MS,BKNG,GE,CVX,SPGI,USB,BLK,ISRG,CI,ZTS,AXP,TGT,GILD,DE,FDX,MDLZ,GM,ORCL,ADP,SCHW,MO,VRTX,SO,C,CL,AON,PLD,ETN,CB,WM,APD,D,TFC,ECL,ADI,LRCX,F,BSX,PSX,HCA,MAR,EMR,CTSH,ITW,TRV,MNST,AEP,KMB,MTD,HAL,ROK,KMI,HIG,AIG
2020-05-18,76.13,176.67,68.93,121.31,,54.24,8.05,78.71,272.59,184.7,130.81,217.57,102.75,281.86,117.13,20.25,36.13,38.57,148.96,7.94,65.1,35.53,74.53,278.8,342.8,115.42,367.97,38.69,171.27,452.58,53.42,82.62,33.42,160.25,140.75,99.47,54.59,85.76,30.27,80.51,71.73,52.53,199.57,135.44,106.78,103.86,34.29,1540.59,,75.23,298.81,26.57,,179.47,179.79,126.17,82.81,109.95,61.09,129.02,109.13,45.28,24.12,49.36,122.8,31.94,25.2,284.13,45.16,37.83,62.5,189.16,76.13,71.33,96.76,91.81,212.17,64.36,27.1,194.16,98.98,,4.2,36.42,62.63,101.66,90.97,50.57,49.3,146.81,85.47,33.31,,115.74,718.7,10.66,188.84,11.37,31.44,25.06
2020-05-19,75.69,175.44,68.39,122.47,215.86,53.87,8.1,77.16,268.59,182.75,129.51,211.15,99.41,282.66,113.86,19.61,35.01,38.2,147.77,7.89,63.33,34.77,74.31,280.52,338.66,112.97,372.2,38.3,174.79,451.04,53.75,80.74,33.52,160.02,138.05,97.96,55.47,86.2,29.96,80.79,70.07,52.73,194.64,130.44,106.91,101.2,33.48,1530.82,30.2133,72.85,298.3,25.79,443.29,177.0,178.18,128.97,81.73,108.74,59.11,127.38,105.1,44.32,24.01,48.61,119.83,30.8,24.88,282.28,44.46,36.8,61.64,187.91,74.24,69.57,93.72,90.59,209.58,63.54,25.67,190.7,97.15,24.67,4.19,35.43,61.76,99.98,88.1,49.93,47.96,143.77,83.65,33.58,64.21,113.67,714.06,10.32,186.5,11.26,30.63,24.33
2020-05-20,77.16,177.88,70.12,124.9,228.89,54.37,8.26,79.47,267.6,187.09,128.35,211.22,100.16,290.51,113.45,20.23,36.15,39.36,144.4,8.09,62.79,34.91,74.3,280.78,337.05,118.46,383.63,39.01,175.67,447.67,56.25,82.45,34.36,164.05,137.93,102.13,56.39,87.56,29.92,81.41,72.35,54.23,195.02,133.32,107.02,104.46,34.96,1581.86,31.235,75.6,301.09,26.65,449.96,184.1,174.92,128.01,84.98,105.62,60.38,133.15,107.14,44.2,24.78,49.13,121.34,31.45,25.32,284.62,45.5,37.66,62.72,187.65,76.38,71.02,96.09,91.62,212.92,63.47,26.8,191.85,104.68,25.57,4.34,37.18,64.25,102.45,90.05,50.92,48.96,147.07,85.69,34.71,64.72,115.0,735.56,11.06,189.64,11.48,31.22,24.69
2020-05-21,76.58,175.74,70.0,122.34,230.3,55.17,8.08,78.46,266.6,183.96,127.5,213.61,98.69,286.09,112.54,20.22,35.51,38.74,143.6,7.97,62.51,34.78,75.79,278.07,331.72,116.39,382.17,38.33,174.01,436.25,55.25,82.73,34.17,164.93,136.78,98.64,54.65,88.79,29.63,81.52,69.99,54.26,192.37,139.0,110.36,102.99,34.31,1578.42,31.527,74.82,297.98,26.54,449.76,181.98,175.3,125.12,84.14,104.78,60.06,133.61,106.0,43.78,25.09,48.49,120.03,31.01,25.16,284.63,44.67,37.27,62.54,185.79,75.75,71.34,103.87,91.14,209.14,63.35,26.56,189.9,101.42,24.58,4.45,34.79,63.3,104.02,88.76,50.42,48.2,146.27,88.95,34.18,64.4,115.51,723.0,11.09,187.52,11.27,33.1,25.37
2020-05-22,77.08,175.82,70.33,121.84,233.81,54.46,8.31,77.85,269.41,184.2,126.34,214.5,99.56,286.73,112.78,20.01,35.54,38.62,142.54,8.03,62.36,34.6,75.04,278.49,336.18,116.58,385.26,38.55,176.58,429.32,55.5,83.71,33.99,164.33,137.3,98.61,55.17,88.31,29.82,81.88,70.62,54.22,193.78,137.53,111.83,101.55,34.17,1613.66,31.1864,73.39,299.03,26.54,453.99,187.6,175.6,124.91,83.67,103.73,59.93,131.65,107.13,44.15,25.26,48.87,121.42,30.65,25.29,284.96,45.29,36.53,62.97,184.48,76.76,71.69,107.47,91.13,208.08,64.89,26.42,190.0,101.47,24.62,4.47,35.91,62.78,102.71,88.47,50.08,47.93,145.96,89.78,34.35,65.58,117.43,748.31,10.73,186.1,11.31,32.99,25.44
2020-05-26,76.55,173.96,70.73,121.09,231.11,54.59,8.02,83.38,274.01,186.47,126.5,215.03,99.05,294.91,112.15,21.44,36.58,39.53,139.53,8.18,63.09,34.47,73.91,280.68,328.58,119.47,376.63,38.5,175.26,414.77,55.57,81.89,34.67,164.71,137.58,100.61,53.19,91.01,29.81,82.17,70.01,55.51,190.33,144.73,113.06,106.01,37.2,1728.02,33.0839,75.84,300.14,28.88,463.13,187.03,182.03,125.24,88.35,101.64,59.8,138.5,114.28,44.06,26.64,49.01,125.07,32.21,25.66,266.5,45.36,39.9,61.8,187.45,78.92,74.65,108.68,93.6,211.15,65.14,28.72,193.87,102.97,25.11,4.62,36.19,64.84,105.0,92.23,53.13,49.61,154.29,92.7,34.51,66.53,114.29,766.0,10.99,198.72,11.59,34.43,27.31
2020-05-27,76.89,174.19,70.68,120.52,228.07,54.68,7.85,88.21,282.26,186.09,126.79,219.36,100.7,291.45,113.06,22.94,36.84,40.08,137.39,8.34,63.33,34.09,73.32,281.79,333.3,120.05,375.17,39.46,175.34,419.89,56.66,83.06,35.03,167.28,139.49,102.43,52.74,94.07,29.74,84.33,71.15,56.88,192.4,149.52,117.1,110.54,39.9,1680.36,35.4678,76.33,303.11,30.33,474.42,188.24,185.32,130.22,94.82,103.66,61.2,143.48,119.42,44.73,27.02,49.4,130.24,34.62,26.18,278.51,45.65,43.28,62.83,190.12,80.45,78.63,112.95,96.09,208.8,65.74,31.35,196.49,104.78,26.03,4.77,37.14,67.11,109.42,95.18,55.48,51.56,157.09,95.81,35.3,67.79,116.32,788.31,11.29,201.79,11.72,35.02,27.75
2020-05-28,76.92,173.8,70.57,120.05,224.4,53.72,7.81,86.89,282.45,187.48,128.61,217.39,102.62,293.91,114.34,21.95,35.89,40.38,142.06,8.21,64.54,34.42,73.36,285.06,338.63,115.33,379.83,39.14,179.81,413.44,55.0,84.29,34.7,168.18,142.25,100.73,51.74,92.75,30.36,84.42,70.09,56.57,191.81,149.82,117.2,109.02,37.8,1631.16,32.9865,73.87,306.35,29.43,474.81,190.8,186.35,132.59,91.85,104.56,61.55,143.3,120.08,45.67,25.94,49.79,130.36,33.62,26.01,277.38,47.23,40.72,64.16,190.94,81.58,77.58,113.63,98.11,213.7,67.46,30.28,200.34,101.93,25.16,4.62,37.47,64.5,105.67,89.04,54.71,50.02,154.12,96.5,35.44,70.84,118.32,792.4,11.21,199.18,11.54,34.99,27.41
2020-05-29,76.85,175.57,71.33,122.12,224.03,55.67,8.17,84.68,283.27,188.42,130.17,220.35,102.49,292.54,113.7,21.3,36.23,40.03,144.23,8.45,65.91,34.52,75.51,284.06,345.0,115.87,386.6,41.06,173.55,419.73,56.1,86.87,34.74,167.14,144.54,103.23,53.8,93.09,30.36,84.41,72.58,56.46,196.58,145.85,119.24,108.47,37.63,1621.69,31.9648,74.54,312.32,28.66,467.56,193.34,183.33,133.82,89.05,108.0,63.6,142.32,119.54,46.3,25.16,49.93,131.88,33.52,26.18,287.96,47.36,39.68,64.38,189.26,80.22,77.37,112.01,98.34,214.57,68.52,29.19,201.45,103.76,25.8,4.51,37.99,64.26,102.91,85.99,54.7,49.37,153.72,95.95,35.96,70.96,118.86,795.0,10.88,198.96,11.59,34.43,26.47
2020-06-01,77.79,175.17,71.4,123.55,230.82,59.87,8.1,85.8,284.27,187.56,128.81,219.29,103.67,293.04,114.95,21.73,36.88,40.3,143.76,8.41,64.97,34.5,73.9,283.89,345.14,117.32,389.68,39.75,175.11,425.92,55.15,85.12,35.25,168.12,143.48,102.46,53.63,94.0,28.19,84.05,71.55,56.79,194.19,151.39,118.3,108.8,38.06,1652.66,32.8892,75.43,314.51,29.58,476.04,191.53,184.05,132.81,90.62,105.5,61.42,139.54,118.76,46.42,26.19,49.27,131.04,34.08,26.26,286.64,47.88,40.96,64.73,188.49,82.15,77.15,109.82,97.66,215.41,69.23,30.21,198.1,103.6,25.55,4.64,37.5,64.72,104.77,92.34,54.14,49.23,152.63,97.9,36.3,71.7,118.72,803.43,11.15,197.59,11.57,34.95,26.9
