date,open,high,low,close,volume,average,barCount,Ticker
2020-05-11,290.34,294.0,289.88,292.5,54365587.0,292.278,253247,SPY
2020-05-12,293.78,294.24,286.55,286.67,67392375.0,290.608,290600,SPY
2020-05-13,286.05,287.19,278.96,281.6,107548880.0,282.333,514510,SPY
2020-05-14,278.94,285.11,272.99,284.97,98548707.0,280.779,485895,SPY
2020-05-15,282.37,286.33,281.34,286.28,70571644.0,284.283,339608,SPY
2020-05-18,293.05,296.75,292.7,295.0,79186536.0,294.955,366426,SPY
2020-05-19,294.34,296.21,291.95,291.97,66037151.0,294.624,310010,SPY
2020-05-20,295.82,297.87,295.57,296.93,57309339.0,296.838,267051,SPY
2020-05-21,296.78,297.67,293.68,294.88,60074617.0,295.463,308410,SPY
2020-05-22,294.57,295.63,293.22,295.44,42939953.0,294.449,206496,SPY
2020-05-26,301.93,302.19,298.69,299.08,59833119.0,300.584,278001,SPY
2020-05-27,302.1,303.57,296.87,303.53,75908406.0,300.565,353165,SPY
2020-05-28,304.65,306.84,302.24,302.97,67783623.0,304.673,314106,SPY
2020-05-29,302.46,304.96,299.55,304.32,81820520.0,302.483,405444,SPY
2020-06-01,303.61,306.21,303.06,305.55,38617564.0,305.105,184026,SPY
2020-06-02,306.55,308.13,305.1,308.08,53756657.0,306.624,246561,SPY
2020-06-03,310.23,313.22,309.94,312.18,61056803.0,311.661,270685,SPY
2020-06-04,311.11,313.0,309.08,311.36,58466778.0,311.197,275385,SPY
2020-06-05,317.27,321.28,317.16,319.34,93136719.0,319.345,418562,SPY
2020-06-08,320.22,323.41,319.63,323.2,55210908.0,321.413,257061,SPY
2020-06-09,320.29,322.37,319.36,320.79,55693823.0,320.976,261993,SPY
2020-06-10,321.42,322.39,318.22,319.0,71004956.0,320.198,355210,SPY
2020-06-11,311.46,312.15,300.01,300.61,159752988.0,305.094,774696,SPY
2020-06-12,308.24,309.08,298.6,304.21,141629624.0,303.468,750515,SPY
2020-06-15,298.02,308.28,296.74,307.05,100435903.0,303.732,507895,SPY
2020-06-16,315.47,315.64,307.67,312.96,108331740.0,312.709,503928,SPY
